model,thinking,context,total,valid,failed,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,success_precision,success_recall,success_f1,success_support,failure_precision,failure_recall,failure_f1,failure_support,tn,fp,fn,tp
qwen3.5-35b-a3b,off,full,269,269,0,0.620817843866171,0.692307763309404,0.620817843866171,0.648525066695212,0.527250155183116,0.5368041582830315,0.5205828906905228,0.8100558659217877,0.6807511737089202,0.7397959183673469,213.0,0.24444444444444444,0.39285714285714285,0.3013698630136986,56.0,145,68,34,22
qwen3.5-35b-a3b,off,minimal,269,269,0,0.7174721189591078,0.6937523938267433,0.7174721189591078,0.7043906910424199,0.5385858585858585,0.5320254862508383,0.5332420091324201,0.8044444444444444,0.8497652582159625,0.8264840182648402,213.0,0.2727272727272727,0.21428571428571427,0.24,56.0,181,32,44,12
qwen3.5-35b-a3b,on,full,269,247,22,0.6153846153846154,0.7217049768607158,0.6153846153846154,0.6536041076431048,0.5300810695491396,0.54574951330305,0.5158361704322707,0.8354430379746836,0.6567164179104478,0.7353760445682451,201.0,0.2247191011235955,0.43478260869565216,0.2962962962962963,46.0,132,69,26,20
qwen3.5-35b-a3b,on,minimal,269,192,77,0.7291666666666666,0.6754679144385026,0.7291666666666666,0.6953125,0.5304812834224599,0.518095238095238,0.5125,0.788235294117647,0.8933333333333333,0.8375,150.0,0.2727272727272727,0.14285714285714285,0.1875,42.0,134,16,36,6
qwen3.5-9b,off,full,269,269,0,0.7546468401486989,0.6941759603469642,0.7546468401486989,0.7141474976055584,0.5458333333333334,0.522593896713615,0.5154475982532751,0.8,0.92018779342723,0.8558951965065502,213.0,0.2916666666666667,0.125,0.175,56.0,196,17,49,7
qwen3.5-9b,off,minimal,269,269,0,0.7843866171003717,0.6795258469523743,0.7843866171003717,0.7026820757700664,0.5212264150943396,0.5018863179074446,0.45599721059972104,0.7924528301886793,0.9859154929577465,0.8786610878661087,213.0,0.25,0.017857142857142856,0.03333333333333333,56.0,210,3,55,1
qwen3.5-9b,on,full,269,267,2,0.7715355805243446,0.7062348534919586,0.7715355805243446,0.720171309946601,0.5764705882352942,0.5275050778605281,0.5160312602145425,0.8,0.9478672985781991,0.8676789587852495,211.0,0.35294117647058826,0.10714285714285714,0.1643835616438356,56.0,200,11,50,6
qwen3.5-9b,on,minimal,269,266,3,0.7894736842105263,0.6285998013902682,0.7894736842105263,0.6999115435647942,0.39622641509433965,0.4976303317535545,0.4411764705882353,0.7924528301886793,0.995260663507109,0.8823529411764706,211.0,0.0,0.0,0.0,55.0,210,1,55,0
